0.904	0.342	0.848	0.828	0.129	
0.334	0.666	0.567	0.768	0.706	
0.702	0.572	0.565	0.463	0.038	
0.869	0.949	0.004	0.812	0.652	
0.177	0.583	0.988	0.725	0.549	
0.681	0.666	0.436	0.968	0.445	
0.708	0.395	0.322	0.273	0.027	
0.921	0.403	0.927	0.083	0.978	
0.468	1.608	0.535	0.409	0.719	
0.421	0.353	0.110	0.750	0.038	
0.463	0.908	0.496	0.737	0.830	
0.592	0.656	0.650	0.321	0.732	
0.493	0.630	0.161	0.047	0.722	
0.448	0.766	0.675	0.789	0.570	
0.892	0.585	0.978	0.331	0.828	
0.252	0.953	0.071	0.930	0.491	
0.422	0.544	0.712	0.899	0.924	
0.081	0.580	0.730	0.964	0.856	
0.500	0.526	0.435	0.521	0.240	
0.208	0.327	0.979	0.672	0.910	
0.568	0.833	0.554	0.516	0.982	
0.566	-0.962	0.720	0.904	0.747	
0.306	0.355	0.129	0.825	0.330	
0.796	0.531	0.002	0.276	0.672	
0.167	0.606	0.155	0.212	0.519	
0.636	0.939	0.118	0.595	0.653	
0.297	0.006	0.339	0.217	0.705	
0.159	0.446	0.771	0.178	0.224	
0.995	0.245	0.661	0.490	0.858	
0.733	0.363	0.695	1.927	0.003	
0.904	0.345	0.643	0.662	0.767	
0.440	0.890	0.460	0.361	0.251	
0.361	0.559	0.682	0.350	0.046	
0.926	0.787	0.883	0.233	0.171	
0.387	0.904	-1.032	0.451	0.803	
0.425	0.044	0.137	0.667	0.916	
0.145	0.886	0.341	0.542	0.458	
0.937	0.087	0.009	0.067	0.721	
0.310	0.759	0.272	0.038	0.248	
0.765	0.370	0.145	0.957	0.119	
0.033	0.636	0.188	0.947	0.681	
0.340	0.194	0.599	0.494	0.336	
0.112	0.685	0.126	0.419	0.032	
0.192	0.792	0.440	0.549	0.771	
0.451	0.529	0.918	0.346	0.912	
-0.687	0.713	0.343	0.600	0.790	
0.884	0.190	0.382	0.552	0.340	
0.040	0.138	0.523	0.682	0.593	
0.865	0.950	0.887	0.173	0.898	
0.923	0.358	0.558	0.586	0.408	
0.404	0.077	0.542	0.997	0.590	
0.742	0.463	0.260	0.412	0.495	
0.676	0.744	0.776	0.849	0.313	
0.244	0.422	0.444	0.639	0.656	
0.303	0.555	0.691	0.279	0.856	
0.662	0.685	0.502	0.455	0.145	
0.678	0.463	0.523	0.140	0.461	
0.153	0.771	0.933	0.354	0.599	
0.819	0.782	0.304	0.022	0.201	
0.694	0.849	0.688	0.537	0.309	
0.206	0.668	0.887	0.516	0.440	
0.951	0.402	0.128	0.161	0.708	
0.117	0.256	-0.876	0.676	0.377	
0.349	0.514	0.176	0.243	0.917	
0.616	0.746	0.695	0.990	0.093	
0.267	0.210	0.981	0.388	0.951	
0.734	0.237	0.625	0.392	0.284	
0.595	0.781	0.718	0.458	0.103	
0.293	0.702	0.093	0.032	0.183	
0.231	0.346	0.455	0.002	0.843	
0.486	0.079	0.573	0.902	0.471	
0.463	0.731	0.812	0.786	0.787	
0.827	0.784	0.818	0.770	0.406	
0.612	0.006	0.335	0.763	0.234	
0.628	0.023	0.061	0.886	0.977	
0.709	0.372	0.535	0.084	0.449	
0.205	0.561	0.067	0.029	0.900	
0.915	0.021	0.615	0.472	0.159	
0.971	0.637	0.877	0.082	0.799	
0.457	0.054	0.237	0.085	0.745	
0.294	0.743	0.755	0.412	0.373	
0.287	0.247	0.686	0.821	0.958	
0.974	0.337	0.665	0.969	0.789	
0.183	0.718	0.856	0.566	0.470	
0.557	0.879	0.245	0.629	0.736	
0.888	0.223	0.812	0.126	0.147	
0.212	0.014	0.267	0.491	0.531	
0.311	0.522	0.064	0.550	0.025	
0.936	0.841	0.315	0.570	0.563	
0.503	0.684	0.127	0.335	0.003	
0.044	0.559	0.414	0.356	0.836	
0.199	0.273	0.612	0.517	0.183	
0.513	0.197	0.758	0.494	0.350	
0.628	0.100	0.596	0.663	0.276	
0.761	0.504	0.228	0.781	0.823	
0.018	0.263	0.307	0.769	0.456	
0.163	0.174	0.150	0.040	0.128	
0.979	0.299	0.514	0.210	0.961	
0.205	0.313	0.746	0.222	0.893	
0.157	0.246	0.252	0.027	0.086	
0.272	0.267	0.465	0.087	0.997	
0.502	0.605	0.003	0.893	0.401	
0.241	0.376	0.947	0.481	0.027	
0.267	0.956	0.914	0.023	0.410	
0.602	0.198	0.956	0.004	0.187	
0.009	0.333	0.411	0.037	0.111	
0.557	0.127	0.007	0.571	0.243	
0.097	0.781	0.579	0.256	0.970	
1.722	0.047	0.811	0.338	0.305	
0.249	0.341	0.143	0.877	0.754	
0.473	0.958	1.646	0.185	0.228	
0.248	0.823	0.981	0.389	0.544	
0.645	0.261	0.291	0.981	0.180	
0.445	0.465	0.139	0.447	0.501	
0.485	0.088	0.827	0.466	0.447	
0.426	0.537	0.475	0.713	0.141	
0.332	0.738	0.480	0.249	0.824	
0.024	0.922	0.185	0.319	0.686	
0.372	0.904	0.591	0.112	0.231	
0.047	0.868	1.664	0.507	0.267	
0.247	0.679	0.784	0.457	1.702	
0.662	0.779	0.822	0.974	0.973	
0.281	0.186	0.597	0.327	0.374	
0.352	0.883	0.465	0.920	0.312	
0.797	0.874	0.120	0.930	0.295	
0.194	0.818	0.451	0.942	0.514	
0.308	0.093	0.830	0.504	0.837	
0.467	1.767	0.819	0.448	0.446	
0.136	0.856	0.088	0.873	0.566	
0.357	0.522	0.313	0.075	0.351	
0.503	0.730	0.560	0.756	0.383	
0.610	0.499	0.184	0.861	0.274	
0.286	0.649	0.758	0.966	0.722	
0.917	0.319	0.834	0.356	0.636	
0.141	-0.839	0.453	0.868	0.739	
1.854	0.983	0.322	0.320	0.592	
0.638	0.054	0.059	0.730	0.791	
0.676	0.153	0.410	0.108	0.930	
0.864	0.458	0.547	0.826	0.953	
0.565	0.714	0.548	0.532	0.020	
0.742	0.510	0.758	0.641	0.491	
0.418	0.451	0.949	0.231	0.313	
0.759	0.495	0.417	0.828	0.255	
0.375	0.557	0.449	0.418	0.873	
0.877	0.266	0.290	0.889	0.815	
0.804	0.207	0.709	0.141	0.563	
0.493	0.197	0.424	0.795	0.662	
0.791	0.423	0.325	0.292	0.709	
0.170	0.577	0.101	0.262	0.172	
0.959	1.754	0.020	0.858	0.552	
0.425	0.019	0.574	0.032	0.587	
0.677	0.805	0.928	0.128	0.742	
0.604	0.698	0.150	0.711	0.437	
0.589	0.065	0.830	0.648	0.470	
0.163	0.865	0.271	0.159	0.343	
0.876	0.593	0.159	0.209	0.358	
0.225	0.100	0.093	0.874	0.869	
0.517	0.118	0.941	0.346	0.483	
0.924	0.264	0.901	0.305	0.923	
0.654	0.583	0.653	0.316	1.853	
0.577	0.729	0.677	0.624	0.574	
0.144	0.234	0.300	0.739	0.756	
0.979	0.226	0.282	0.173	0.589	
0.932	0.058	0.735	0.801	0.583	
0.404	0.164	0.464	0.971	0.643	
0.328	0.603	0.475	0.312	0.952	
0.901	0.061	0.836	0.045	0.168	
0.155	0.571	0.537	0.135	0.864	
0.055	0.909	0.237	0.061	0.588	
0.171	0.848	0.403	0.489	0.385	
0.897	0.163	0.159	0.413	0.014	
0.370	0.142	0.314	0.404	0.341	
0.660	0.425	0.236	0.374	0.233	
0.106	0.152	0.217	0.902	0.200	
0.075	0.815	0.167	1.912	0.614	
0.541	0.362	0.366	0.175	0.317	
0.960	0.000	0.346	0.706	0.828	
0.632	0.403	0.335	0.510	0.068	
0.633	0.495	0.075	0.176	0.113	
0.519	0.568	0.230	0.824	0.484	
0.640	0.125	0.288	0.802	0.776	
0.312	0.842	0.282	0.455	0.107	
0.955	0.942	0.591	0.035	0.487	
0.139	0.010	0.822	0.906	0.530	
0.998	0.869	0.544	0.021	0.146	
0.338	0.623	0.051	0.480	0.482	
0.372	0.772	0.193	0.104	0.428	
0.784	0.593	0.596	0.821	0.403	
0.323	0.294	0.651	0.893	0.501	
0.116	0.270	0.747	0.346	0.471	
0.941	0.278	0.030	0.833	0.817	
0.752	0.889	0.214	0.138	0.042	
0.573	0.384	0.500	0.803	0.435	
0.597	0.206	0.909	0.687	0.715	
0.070	0.367	0.107	0.590	0.041	
0.080	0.525	0.969	0.850	0.689	
0.809	0.368	0.701	0.230	0.116	
0.064	0.269	0.130	0.576	0.583	
0.355	0.433	0.357	0.560	0.429	
0.688	0.136	0.483	0.819	0.881	
